"tipo_selecao","sigma_p","encounters_n","n_reps","Metrica","Gen_1","Gen_50","Delta","Delta_pct"
"gaussian",0.5,40,8,"Modularity",0.566963810350694,0.637374988882746,0.0704111785320511,12.4189899331491
"gaussian",0.5,40,8,"Nestedness",1.02811278417656,0.768863281096114,-0.259249503080447,-25.2160567469342
"gaussian",0.5,40,8,"varz_males",0.714274386623864,0.0713305768622594,-0.642943809761604,-90.0135608670759
"gaussian",0.5,40,8,"zbar_males",4.99242855749878,4.9882312739777,-0.00419728352108617,-0.0840729811702907
"sigmoid",0.5,40,8,"Centralization",0.0294830211313135,0.0173288383992251,-0.0121541827320885,-41.2243463041162
"sigmoid",0.5,40,8,"I_s",0.630895514273999,0.31834683502888,-0.312548679245119,-49.5404820883507
"sigmoid",0.5,40,8,"Modularity",0.562118075633673,0.606891671526392,0.044773595892719,7.96515853759834
"sigmoid",0.5,40,8,"Nestedness",1.12076974468963,0.841512073284831,-0.279257671404799,-24.916596181148
"sigmoid",0.5,40,8,"varz_males",0.715815947479855,0.0766990162178745,-0.639116931261981,-89.2850925593505
"sigmoid",0.5,40,8,"zbar_males",5.02806956370205,5.76026135703359,0.732191793331538,14.5620855888168
"u-shaped",0.5,40,8,"Centralization",0.0232498357057325,0.0207150800930459,-0.00253475561268665,-10.9022517181129
"u-shaped",0.5,40,8,"I_s",0.491166915383474,0.30764837560053,-0.183518539782944,-37.3637828679205
"u-shaped",0.5,40,8,"Modularity",0.595697769127918,0.58551531966922,-0.0101824494586983,-1.70933147418112
"u-shaped",0.5,40,8,"Nestedness",0.95698411311355,1.00947139693545,0.0524872838218995,5.48465571190435
"u-shaped",0.5,40,8,"varz_males",0.706249953605994,0.0746215277842638,-0.631628425821731,-89.4341192656709
"u-shaped",0.5,40,8,"zbar_males",4.9199328046264,4.68589621643228,-0.234036588194122,-4.75690619136198
"uniform",0.8,40,8,"Centralization",0.0155729495610586,0.0156142823858641,4.13328248055015e-05,0.265414234107952
"uniform",0.8,40,8,"I_s",0.280748075609393,0.333846568708851,0.0530984930994587,18.9132171197266
